"","taxon_id_hash","scientific_name"
"1","c218a947b5591a7b39b626622e899901","Achondrostoma oligolepis"
"2","16b9ce9e19562f42bafda84ffa48d110","Aedes aegypti"
"3","5ef24f5c5b939b1f933b52e22f4e608b","Aedes albopictus"
"4","27eea5e50d11e7148dc0bdde7009e40b","Alburnus alburnus"
"5","4ac71bc8355e62cf3f8479449ea25e5d","Ameiurus melas"
"6","c390be62a3b8f3a071151ef5fa06e286","Anguillicoloides crassus"
"7","eafd7e89ce84549834243caf67f0b7e9","Argulus foliaceus"
"8","9495e84453fcde268be8da6cd6130544","Australoheros facetus"
"9","b6379ef1bd96c73c652aaf9366aeb05c","Bosmina coregoni"
"10","6f83cd5d94324cbabc5287c556780404","Branchiura sowerbyi"
"11","6f83cd5d94324cbabc5287c556780404","Branchiura sowerbyi"
"12","6d11d0374971e4b0ec87c29d9acc52f2","Carassius auratus"
"13","6d11d0374971e4b0ec87c29d9acc52f2","Carassius auratus"
"14","a6b7d41c1a3ef1cdf5e86343d6170f2a","Carassius gibelio"
"15","10f2c21e38d910bcc489e526cb5706da","Corbicula fluminea"
"16","6d9335c733f5b78d7ba8cf263fbb9708","Cordylophora caspia"
"17","d5028a9aef3ac5374515871a2f025ba0","Crangonyx pseudogracilis"
"18","86b717731e4a49b77311807534059e7f","Craspedacusta sowerbii"
"19","86b717731e4a49b77311807534059e7f","Craspedacusta sowerbii"
"20","183bf2e499d9dc9c6fcc95ddab39e10e","Cyprinus carpio"
"21","183bf2e499d9dc9c6fcc95ddab39e10e","Cyprinus carpio"
"22","6c05fa637bf0d5e8f6adab6494f6f446","Dactylogyrus anchoratus"
"23","a27b9d085f82ec1dbeb4818ae1a832cf","Eriocheir sinensis"
"24","36a95cf7e2a67c38388e1e28f0805301","Esox lucius"
"25","36a95cf7e2a67c38388e1e28f0805301","Esox lucius"
"26","32dc2e18733fffa92ba4e1b35d03c4e2","Ferrissia fragilis"
"27","1d17b434b113730d1e811c0cf1bf4789","Fundulus heteroclitus"
"28","4497da3d5e3ef61d73279635415cfa16","Galba truncatula"
"29","85ff0c479c1d6df744e0dc340ae72bb8","Gambusia holbrooki"
"30","85ff0c479c1d6df744e0dc340ae72bb8","Gambusia holbrooki"
"31","7da3ddcb0ae6672d31240578f2c4f854","Gobio lozanoi"
"32","680982d78f7356ba787d86f932b16eec","Graptemys pseudogeographica"
"33","c251fec7a5a453358404665b84088bde","Gyraulus chinensis"
"34","19c9456259dffea1f932fa1048d67bc2","Gyraulus parvus"
"35","cab16bdde0402702535d82014c391c19","Gyrodactylus salaris"
"36","3f67c44b431393a1e5cd4fb1098c543f","Ictalurus punctatus"
"37","50db10822a4e5a4f58264b51507b3af9","Ilyodromus viridulus"
"38","0d57bb658352d842f86dfca6834276d1","Lepomis gibbosus"
"39","4ae7897b8d8bf9c8185f5c0d4da2d216","Lernaea cyprinacea"
"40","5d7007717ed2e4805fcbe7680f6ef1d3","Micropterus salmoides"
"41","5d7007717ed2e4805fcbe7680f6ef1d3","Micropterus salmoides"
"42","688ab698e2035710b16d7822093a7a12","Mustela vison"
"43","0c929a3c2d8f73ac8fece9c327c527f7","Oncorhynchus mykiss"
"44","0c929a3c2d8f73ac8fece9c327c527f7","Oncorhynchus mykiss"
"45","30865725a1ec2de0238ecbb47367864e","Pacifastacus leniusculus"
"46","bc013910cbdd2d0d963c27a77e5d2974","Pectinatella magnifica"
"47","82577c8765e55fc6ce5f26278b94d117","Pelophylax perezi"
"48","82577c8765e55fc6ce5f26278b94d117","Pelophylax perezi"
"49","0121561a1fcfbbf338f95a5d95f48992","Perca fluviatilis"
"50","0121561a1fcfbbf338f95a5d95f48992","Perca fluviatilis"
"51","55f8a871a14a4768b5418c4cd77fd40b","Physella acuta"
"52","55f8a871a14a4768b5418c4cd77fd40b","Physella acuta"
"53","55f8a871a14a4768b5418c4cd77fd40b","Physella acuta"
"54","f34480779591bd6f51e54676c85998de","Pisidium casertanum"
"55","48993511f6b4806e75e327edb561f8ad","Planorbarius corneus"
"56","ecb58bad3ee7a827c54e9b8c4890f1e5","Planorbella duryi"
"57","ecb58bad3ee7a827c54e9b8c4890f1e5","Planorbella duryi"
"58","892599dcf435e7bac72cbecf553d81dc","Planorbella trivolvis"
"59","dedfc4db712063102f022beb7a51eb6e","Potamopyrgus antipodarum"
"60","ad6ef633d9bc18930d8894c8e33e9f3a","Procambarus clarkii"
"61","ad6ef633d9bc18930d8894c8e33e9f3a","Procambarus clarkii"
"62","48f1bfe51eaa10e4e6dc86f6f6a1e307","Protopolystoma xenopodis"
"63","3827453e03468558ea4b21a077769675","Pseudemys concinna"
"64","f0264f1339bbc794dcaa34dc99d6a76a","Pseudemys nelsoni"
"65","6f324938a43c9e5cf6f7c6f6dc52d30c","Pseudochondrostoma polylepis"
"66","793d520b66493806a1a2ef2e5781d662","Pseudodactylogyrus anguillae"
"67","7fd4b48abb8d674661dd63d2a626fd44","Pseudodactylogyrus bini"
"68","4d44ee4e4c31e377189b7ac613567aca","Pseudosuccinea columella"
"69","61cc5e417a3e5f843194e908ab75621b","Radix balthica"
"70","61cc5e417a3e5f843194e908ab75621b","Radix balthica"
"71","321be3fdc7c0e92ac227db28dfd2d906","Radix peregra"
"72","e58494023038cb61dddb58320bb408f0","Rutilus rutilus"
"73","e58494023038cb61dddb58320bb408f0","Rutilus rutilus"
"74","29a2f2001381c101e0513570519626cf","Salmo trutta"
"75","8bec470dcc174c1b4f743bdc4bc04ea1","Sander lucioperca"
"76","8bec470dcc174c1b4f743bdc4bc04ea1","Sander lucioperca"
"77","e975246316af170f7457fa4e20f1b197","Silurus glanis"
"78","a2ab6a79d2d4147497afd8b40cf943fa","Stenopelmus rufinasus"
"79","ee4d1f39a2070973657d905c5c06d273","Strandesia vavrai"
"80","f979db9939f00bbacdebcb483135b503","Tinca tinca"
"81","af4695539ee8dcb286fcf2e6c12fefa1","Trachemys scripta"
"82","a7f0a08b6964118423232131d3229f53","Trichocorixa verticalis"
"83","8ee57e2c26a970661ed712a87463e9e8","Triturus carnifex"
"84","e822d74e1907cdb22ca4e2f95cc710da","Xenopus laevis"
